質問,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
インターネット層のプロトコルではないものは？,ARP,PPP,IP,ICMP,PPP,PPPはコンピューター同士が1対1で通信を行うためのプロトコルです
有線LANで使用される搬送波感知多重アクセス/衝突検知方式は？,MPLS,CSMA/CA,CSMA/CD,FDDI,CSMA/CD,CSMA/CAは無線LANです
IPv4アドレス表記として正しくないのはどれか,192.168.0.0,192.168.15.256,10.10.10.1,244.0.1.1,192.168.15.256,最大は255です
ネットワーク部を25ビットとするときのサブネットマスクはどれか,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,255.255.255.128,二進数にすると11111111 11111111 11111111 10000000であるインターネット層のプロトコルではないものは？,ARP,PPP,IP,ICMP,PPP,PPPはコンピューター同士が1対1で通信を行うためのプロトコルです
IPv4アドレス表記として正しくないのはどれか,192.168.0.0,192.168.15.256,10.10.10.1,244.0.1.1,192.168.15.256,最大は255です
有線LANで使用される搬送波感知多重アクセス/衝突検知方式は？,MPLS,CSMA/CA,CSMA/CD,FDDI,CSMA/CD,CSMA/CAは無線LANです
ネットワーク部を25ビットとするときのサブネットマスクはどれか,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,255.255.255.128,二進数にすると11111111 11111111 11111111 10000000である
インターネット層のプロトコルではないものは？,ARP,PPP,IP,ICMP,PPP,PPPはコンピューター同士が1対1で通信を行うためのプロトコルです
有線LANで使用される搬送波感知多重アクセス/衝突検知方式は？,MPLS,CSMA/CA,CSMA/CD,FDDI,CSMA/CD,CSMA/CAは無線LANです
ネットワーク部を25ビットとするときのサブネットマスクはどれか,255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,255.255.255.128,二進数にすると11111111 11111111 11111111 10000000である
有線LANで使用される搬送波感知多重アクセス/衝突検知方式は？,MPLS,CSMA/CA,CSMA/CD,FDDI,CSMA/CD,CSMA/CAは無線LANです
